genres,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity
country,214728.8788,0.305334923,0.588753426,0.601206049,0.015089494,0.174485122,-8.360418207,0.049372059,122.5922536,0.56686209,1,7,44.69585426
country blues,208164.0202,0.790295781,0.607156245,0.334518558,0.092995803,0.200607855,-12.84787028,0.0640957,114.3529422,0.595088481,1,2,23.00633308
country boogie,154080.3499,0.741007289,0.727010204,0.441835277,0.124888578,0.167087172,-10.6267449,0.10824344,141.1568994,0.873567347,1,7,11.80466472
country dawn,226745.7344,0.289935614,0.573996994,0.611324039,0.018177882,0.166821413,-7.34625082,0.045713443,124.9100369,0.513018912,1,7,44.20436025
country gospel,166451.4342,0.646590676,0.585743056,0.443553104,0.016889367,0.199881463,-10.62435705,0.063564188,114.9347916,0.659553697,1,2,25.43708045
country pop,209335.1514,0.210288367,0.568968147,0.68232976,0.016611658,0.174635534,-6.172509064,0.046990309,127.4904804,0.529051269,1,6,59.11674892
country rap,242836.0528,0.147160231,0.7012698,0.692902346,0.003697492,0.188436168,-6.523297365,0.125333429,120.4672767,0.496323134,1,11,52.76591716
country road,220931.747,0.227721418,0.582315004,0.667304215,0.017245892,0.179850344,-6.798213374,0.049917893,124.0573449,0.534761415,1,7,49.91113715
country rock,235278.8427,0.358608305,0.563399971,0.537376159,0.050970542,0.206087902,-11.14366239,0.049816291,120.9292048,0.612494159,1,7,36.3135652
coverchill,176200,0.931,0.657,0.306,0,0.164,-11.426,0.246,93.775,0.75,1,0,0
cowboy western,169879.5299,0.704380493,0.576445664,0.39623895,0.006282533,0.146539026,-12.35714379,0.054246465,117.6718562,0.580902265,1,4,28.49207894
cowpunk,215066.646,0.153096401,0.55509418,0.684755441,0.058204941,0.237989361,-10.16728859,0.057933256,124.5914054,0.680470624,1,7,34.09585804
crack rock steady,196348.5786,0.058469,0.478207143,0.867878571,0.020483583,0.259592857,-5.288057143,0.139451429,114.0593857,0.504459286,1,4,42.11428571
croatian folk,241520,0.778,0.322,0.566,0.00101,0.366,-5.181,0.0324,97.191,0.282,1,2,0
croatian pop,221247.5833,0.315733333,0.581708333,0.7675,0.000650721,0.1075,-6.145041667,0.053666667,125.6787917,0.596958333,1,7,38
croatian rock,203054.0667,0.335586667,0.576366667,0.7518,0.000520577,0.149,-5.919033333,0.049573333,129.7638333,0.625766667,0,7,36.8
crossover thrash,202479.6112,0.008938879,0.324653597,0.912247685,0.216559212,0.206393283,-8.413126959,0.095606937,122.6037551,0.394373401,1,4,34.41018519
crunk,259625.2791,0.083499905,0.763523858,0.711720038,0.00733257,0.208262002,-6.166440429,0.195817774,123.2967322,0.573326369,1,1,46.72179836
crust punk,145480.4894,0.02655272,0.329629877,0.924568536,0.14632896,0.266127116,-7.997041976,0.12236756,120.9056917,0.397287914,1,11,28.924798
cuarteto,275623.8,0.226042,0.6664,0.7922,6.48E-07,0.16966,-6.4058,0.05168,113.5638,0.745,1,9,54.8
cuatro venezolano,216750.375,0.570125,0.65425,0.607875,8.60E-06,0.13571875,-7.791875,0.104925,131.254125,0.8928125,1,5,38
cuban alternative,265400,0.3011,0.7395,0.782,0.000143,0.16605,-7.7755,0.317,136.0665,0.808,0,11,46.5
cuban rumba,230869.1958,0.71454896,0.584267183,0.520044114,0.262234043,0.170404316,-10.83392511,0.08582261,112.2540633,0.758746432,1,10,14.87087246
cubaton,227091.875,0.343545833,0.649833333,0.684208333,4.24E-05,0.16635,-5.413270833,0.094697917,91.28470833,0.729416667,1,7,49.83333333
cumbia,217614.1609,0.313833025,0.687233559,0.631370724,0.018374551,0.1626161,-7.49314778,0.066444763,121.4545599,0.78460099,1,7,45.49891975
cumbia andina mexicana,229431.8278,0.406522222,0.700916667,0.621313889,0.001162649,0.139343889,-6.889983333,0.055323333,128.7191333,0.864611111,1,7,49.35
cumbia chilena,242597.6667,0.1715,0.788666667,0.777,4.58E-05,0.124816667,-4.844,0.047116667,95.78083333,0.888,1,7,52.66666667
cumbia ecuatoriana,184293.0357,0.941107143,0.542714286,0.259821429,0.53462164,0.216607143,-13.65360714,0.0668,135.6492143,0.631964286,0,8,6.035714286
cumbia funk,363945.3333,0.173333333,0.660666667,0.759,0.298344967,0.194,-9.295,0.0514,120.2023333,0.841666667,0,7,34.66666667
cumbia lagunera,254388.6521,0.365658376,0.755519658,0.582938462,0.008537365,0.219439872,-9.059319231,0.169172393,124.1821786,0.798111538,1,7,45.03162393
cumbia paraguaya,223248.6667,0.2025,0.791166667,0.829,9.40E-06,0.162166667,-4.522,0.064716667,110.9613333,0.836,1,7,55.66666667
cumbia peruana,316602.4,0.58136,0.5986,0.5426,0.00251988,0.12692,-7.4538,0.04266,99.5356,0.6128,1,3,26.6
cumbia pop,265980.3333,0.07638,0.6362,0.820866667,0.000416747,0.2882,-5.305533333,0.1616,142.5827333,0.724133333,0,10,53.8
cumbia ranchera,195453.4667,0.7014,0.660933333,0.480366667,0.118471362,0.158206667,-9.562266667,0.057013333,104.7682,0.727666667,1,3,19
cumbia salvadorena,273887.2654,0.292736308,0.746403846,0.619015385,0.024091547,0.098433077,-7.888242308,0.05062,121.5419385,0.903323077,1,0,40.86923077
cumbia santafesina,244507,0.147,0.86,0.682,0.00931,0.0225,-9.046,0.0406,123.829,0.98,0,11,57
